日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,ma_spread,ma_spread_z,up_ratio,up_ratio_z,crowding_z,escape_index_raw,escape_index_0_100,escape_signal,escape_level
2005-01-04,982.79,,22.212111687326047,0.0,0.02,,,,,,,,,,,,,0.0,,0.0,,0.0,50.0,50.0,0,相对安全
2005-01-05,992.56,0.00994108609163713,22.233812971097564,1.77,0.02,,,,,,,,,,,,,0.004945958943984641,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-06,983.17,-0.009460385266381821,22.089616488073425,1.36,0.02,,,,,,,,,,,,,-0.003045441639738744,,0.3333333333333333,,0.0,50.0,50.0,0,相对安全
2005-01-07,983.96,0.000803523297090214,22.278768948442277,1.62,0.02,,,,,,,,,,,,,-0.0016842190702298643,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-10,993.88,0.010081710638643715,22.04846451714707,1.44,0.02,,,,,,,,,,,,,0.006693190934210724,,0.6,,0.0,50.0,50.0,0,相对安全
2005-01-11,997.14,0.0032800740532055173,22.032699861129334,0.85,0.02,,,,,,,,,,,,,0.008315496755709084,,0.6666666666666666,,0.0,50.0,50.0,0,相对安全
2005-01-12,996.75,-0.0003911185991937183,21.852504222495753,0.77,0.02,,,,,,,,,,,,,0.0067818621261859224,,0.5714285714285714,,0.0,50.0,50.0,0,相对安全
2005-01-13,996.88,0.00013042387760209273,22.06930400725102,0.68,0.02,,,,,,,,,,,,,0.006043801476700805,,0.625,,0.0,50.0,50.0,0,相对安全
2005-01-14,988.31,-0.008596822084904976,22.1494828765631,1.93,0.02,,,,,,,,,,,,,-0.0023162064912108926,,0.5555555555555556,,0.0,50.0,50.0,0,相对安全
2005-01-17,967.45,-0.021106737764466477,22.170139595566013,1.66,0.02,,,,,,,,,,,,,-0.021085937413044098,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-18,974.69,0.007483590883249791,22.13861987115196,1.51,0.02,,,,,,,,,,,,,-0.012524890445200443,,0.5454545454545454,,0.0,50.0,50.0,0,相对安全
2005-01-19,967.21,-0.007674234884937792,21.95522863133833,0.93,0.02,,,,,,,,,,,,,-0.01845867875877716,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-20,956.24,-0.011341900931545412,22.204722776296233,1.14,0.02,,,,,,,,,,,,,-0.02737729275340095,,0.46153846153846156,,0.0,50.0,50.0,0,相对安全
2005-01-21,982.6,0.027566301346942268,22.821539694759046,4.27,0.04,,,,,,,,,,,,,-0.0005252974687636192,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-24,998.13,0.015805007123956827,22.84674358215786,1.59,0.04,,,,,,,,,,,,,0.014238817051625219,,0.5333333333333333,,0.0,50.0,50.0,0,相对安全
2005-01-25,997.78,-0.00035065572620807117,22.540859121166736,1.27,0.03,,,,,,,,,,,,,0.013004186670423135,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-26,989.93,-0.007867465774018312,22.27495607040502,1.1,0.02,,,,,,,,,,,,,0.004736866300844023,,0.47058823529411764,,0.0,50.0,50.0,0,相对安全
2005-01-27,974.63,-0.015455638277453887,22.132885754954366,1.41,0.02,,,,,,,,,,,,,-0.010198543226454304,,0.4444444444444444,,0.0,50.0,50.0,0,相对安全
2005-01-28,969.21,-0.005561084719329368,21.91139894329465,1.07,0.02,,,,,,,,,,-0.8150096677008856,,,-0.014888748969551169,,0.42105263157894735,,-0.8150096677008856,27.329,38.66,0,相对安全
2005-01-31,954.88,-0.014785237461437672,22.07485839549941,1.31,0.02,,,,,,,,,-0.6138986255604773,-0.07664667721324911,,,-0.028022428529040022,,0.4,,-0.3452726513868632,39.787,39.23,0,相对安全
2005-02-01,955.95,0.0011205596514745064,22.176215259236297,1.33,0.02,,,,,,,,,-0.7885070818212602,-0.05468843995756218,,,-0.025683673281194808,,0.45,,-0.4215977608894112,37.615,38.42,0,相对安全
2005-02-02,1006.91,0.053308227417751874,23.045938252099365,5.25,0.05,,,,,,,,,1.612727761571745,3.0,,,0.02503210163319225,,0.45,,2.3063638807858724,94.09,66.26,0,警惕
2005-02-03,993.22,-0.013596051285616362,23.031565600163656,2.19,0.05,,,,,,,,,1.4060531127412617,2.3045100948783657,,,0.010608172703652885,,0.45,,1.8552816038098137,90.259,78.26,1,强警戒
2005-02-04,1016.86,0.023801373311048923,22.979793441713745,3.13,0.05,,,,,,,,,1.2324357701239437,3.0,,,0.033169877986362284,,0.45,,2.116217885061972,92.686,85.47,1,极度警戒
2005-02-16,1023.58,0.006608579352123334,22.729890445933854,1.45,0.04,,,,,,,,,0.8794092360155938,0.22483025315886454,,,0.03833642189338016,,0.45,,0.5521197445872292,65.983,75.73,1,强警戒
2005-02-17,1020.61,-0.0029015807264698434,22.43038625862118,1.36,0.03,,,,,,,,,0.7328018342903577,-0.07664667721324911,,,0.03391892249931039,,0.4,,0.3280775785385543,59.717,67.72,0,警惕
2005-02-18,1006.05,-0.014265978189514139,22.295569135815644,1.53,0.02,,,,,,,,,0.5661781625994196,0.3645895997170785,,,0.0184459965873518,,0.4,,0.465383881158249,63.61,65.67,0,警惕
2005-02-21,1025.63,0.019462253367128923,22.523719882065624,1.89,0.03,,,,,,,,,1.6608767785604366,1.2570055062972896,,,0.03685020038271292,,0.4,,1.4589411424288632,85.204,75.44,1,强警戒
2005-02-22,1046.74,0.02058247126156587,23.114116060743875,2.35,0.05,,,,,,,,,2.360658789162382,2.4450290031026567,,,0.056072035163134526,,0.45,,2.402843896132519,94.702,85.07,1,极度警戒
2005-02-23,1043.94,-0.0026749718172611736,23.142027404746557,1.24,0.06,,,,,,,,,2.650801972272422,-0.6251377770758684,,,0.051380973610566594,,0.45,,1.012832097598277,77.125,81.1,1,强警戒
2005-02-24,1045.46,0.0014560223767650093,22.919795973325424,1.08,0.04,,,,,,,,,2.289219115889979,-0.8571653401681725,,,0.05111772592736252,,0.45,,0.7160268878609033,70.25,75.67,1,强警戒
2005-02-25,1046.76,0.0012434717731906186,23.164739552038974,1.29,0.06,,,,,,,,,0.583646442811645,-0.3125688885379342,,,0.05070342127798377,,0.5,,0.13553877713685542,54.057,64.87,0,警惕
2005-02-28,1039.99,-0.006467576139707276,22.826192103599364,1.26,0.04,,,,,,,,,0.6735870697495647,-0.49594908785043756,,,0.042520798216518996,,0.5,,0.08881899094956358,52.662,58.76,0,相对安全
2005-03-01,1035.93,-0.003903883691189325,22.56203463178225,1.11,0.03,,,,,,,,,-0.15987900322914694,-0.932384285158823,,,0.03727785104291392,,0.45,,-0.546131644193985,34.178,46.47,0,相对安全
2005-03-02,1021.32,-0.014103269525933215,22.917297310749316,2.39,0.04,,,,,,,,,-0.770556684298144,3.0,,,0.021987503838221123,,0.4,,1.114721657850928,79.211,62.84,0,警惕
2005-03-03,1027.71,0.006256609094113408,22.442958429234626,1.34,0.03,,,,,,,,,-0.5030351164827722,-0.031740741622428036,,,0.02757156327550314,,0.45,,-0.2673879290526001,42.046,52.44,0,相对安全
2005-03-04,1023.67,-0.0039310700489438855,22.406672930660367,0.94,0.02,,,,,,,,,-0.19485488243013943,-1.3013704065195488,,,0.02288155184166163,,0.45,,-0.7481126444748442,28.952,40.7,0,相对安全
2005-03-07,1029.87,0.006056639346664339,22.39407598832043,0.67,0.02,,,,,,,,,-0.5862081319832877,-1.7087099240073738,,,0.028289951309028005,,0.5,,-1.1474590279953307,20.15,30.42,0,相对安全
2005-03-08,1048.99,0.018565450008253492,23.01086668487556,1.6,0.04,,,,,,,,,-0.6442149498725463,0.6953512984294795,,,0.04610971126165975,,0.55,,0.025568174278466582,50.767,40.6,0,相对安全
2005-03-09,1046.54,-0.0023355799387982934,23.01353786442779,1.21,0.05,,,,,,,,,-0.6342466237982365,-0.3893967271205089,,,0.04252835090571483,,0.55,,-0.5118216754593727,35.11,37.85,0,相对安全
2005-03-10,1022.41,-0.023056930456552105,22.849179107419214,2.59,0.04,,,,,,,,,-1.2698351059049309,2.88025783776492,,,0.018031718708296562,,0.5,,0.8052113659299945,72.437,55.15,0,相对安全
2005-03-11,1027.43,0.004909967625512435,22.758566993839363,1.09,0.03,,,,,,,,,-1.078876549105551,-0.6877160684859402,,,0.02246956195372163,,0.5,,-0.8832963087957456,25.732,40.44,0,相对安全
2005-03-14,1031.03,0.0035038883427580547,23.04853458944742,2.59,0.04,,,,,,,,,-0.7346358010094787,3.0,,,0.025430908765834204,,0.55,,1.1326820994952607,79.563,60.0,0,警惕
