日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2005-01-21,982.6,0.027566301346942268,22.821539694759046,4.27,0.04,,,,,,,3.0,3.0,2.322,3.0,,,2.831,94.43,1,强警戒
2005-01-24,998.13,0.015805007123956827,22.84674358215786,1.59,0.04,,,,,,,2.385,2.55,1.207,0.172,,,1.961,87.66,1,强警戒
2005-01-25,997.78,-0.00035065572620807117,22.540859121166736,1.27,0.03,,,,,,,1.151,1.008,-0.122,-0.176,,,0.675,66.25,0,警惕
2005-01-26,989.93,-0.007867465774018312,22.27495607040502,1.1,0.02,,,,,,,0.168,-0.442,-0.727,-0.358,,,-0.303,42.49,0,相对安全
2005-01-27,974.63,-0.015455638277453887,22.132885754954366,1.41,0.02,,,,,,,-0.358,-0.427,-1.273,0.005,,,-0.579,35.91,0,相对安全
2005-01-28,969.21,-0.005561084719329368,21.91139894329465,1.07,0.02,,,,,,,-1.141,-0.414,-0.421,-0.392,,,-0.656,34.16,0,相对安全
2005-01-31,954.88,-0.014785237461437672,22.07485839549941,1.31,0.02,,,,,,,-0.497,-0.402,-1.144,-0.094,,,-0.593,35.59,0,相对安全
2005-02-01,955.95,0.0011205596514745064,22.176215259236297,1.33,0.02,,,,,,,-0.098,-0.39,0.214,-0.166,,,-0.123,46.92,0,相对安全
2005-02-02,1006.91,0.053308227417751874,23.045938252099365,5.25,0.05,,,,,,,2.684,3.0,3.0,3.0,,,2.895,94.76,1,强警戒
2005-02-03,993.22,-0.013596051285616362,23.031565600163656,2.19,0.05,,,,,,,2.259,2.594,-0.862,0.474,,,1.442,80.87,1,强警戒
2005-02-04,1016.86,0.023801373311048923,22.979793441713745,3.13,0.05,,,,,,,1.893,2.244,1.274,1.207,,,1.798,85.79,1,强警戒
2005-02-16,1023.58,0.006608579352123334,22.729890445933854,1.45,0.04,,,,,,,1.138,1.247,0.29,-0.254,,,0.846,69.98,0,警惕
2005-02-17,1020.61,-0.0029015807264698434,22.43038625862118,1.36,0.03,,,,,,,0.3,0.323,-0.244,-0.359,,,0.117,52.91,0,相对安全
2005-02-18,1006.05,-0.014265978189514139,22.295569135815644,1.53,0.02,,,,,,,-0.08,-0.594,-0.848,-0.247,,,-0.457,38.76,0,相对安全
2005-02-21,1025.63,0.019462253367128923,22.523719882065624,1.89,0.03,,,,,,,0.564,0.343,0.992,0.022,,,0.552,63.46,0,警惕
2005-02-22,1046.74,0.02058247126156587,23.114116060743875,2.35,0.05,,,,,,,2.067,2.049,0.957,0.425,,,1.647,83.84,1,强警戒
