日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,search_heat_z,margin_heat_z,amplitude_heat_z,price_accel_z,ma_spread,ma_spread_z,up_ratio,up_ratio_z,crowding_z,escape_index_raw,escape_index_0_100,escape_signal
2005-01-04,982.79,,22.212111687326047,0.0,0.02,,,,,,,,,,,,,0.0,,0.0,,0.0,50.0,50.0,0
2005-01-05,992.56,0.00994108609163713,22.233812971097564,1.77,0.02,,,,,,,,,,,,,0.004945958943984641,,0.5,,0.0,50.0,50.0,0
2005-01-06,983.17,-0.009460385266381821,22.089616488073425,1.36,0.02,,,,,,,,,,,,,-0.003045441639738744,,0.3333333333333333,,0.0,50.0,50.0,0
2005-01-07,983.96,0.000803523297090214,22.278768948442277,1.62,0.02,,,,,,,,,,,,,-0.0016842190702298643,,0.5,,0.0,50.0,50.0,0
2005-01-10,993.88,0.010081710638643715,22.04846451714707,1.44,0.02,,,,,,,,,,,,,0.006693190934210724,,0.6,,0.0,50.0,50.0,0
2005-01-11,997.14,0.0032800740532055173,22.032699861129334,0.85,0.02,,,,,,,,,,,,,0.008315496755709084,,0.6666666666666666,,0.0,50.0,50.0,0
2005-01-12,996.75,-0.0003911185991937183,21.852504222495753,0.77,0.02,,,,,,,,,,,,,0.0067818621261859224,,0.5714285714285714,,0.0,50.0,50.0,0
2005-01-13,996.88,0.00013042387760209273,22.06930400725102,0.68,0.02,,,,,,,,,,,,,0.006043801476700805,,0.625,,0.0,50.0,50.0,0
2005-01-14,988.31,-0.008596822084904976,22.1494828765631,1.93,0.02,,,,,,,,,,,,,-0.0023162064912108926,,0.5555555555555556,,0.0,50.0,50.0,0
2005-01-17,967.45,-0.021106737764466477,22.170139595566013,1.66,0.02,,,,,,,,,,,,,-0.021085937413044098,,0.5,,0.0,50.0,50.0,0
2005-01-18,974.69,0.007483590883249791,22.13861987115196,1.51,0.02,,,,,,,,,,,,,-0.012524890445200443,,0.5454545454545454,,0.0,50.0,50.0,0
2005-01-19,967.21,-0.007674234884937792,21.95522863133833,0.93,0.02,,,,,,,,,,,,,-0.01845867875877716,,0.5,,0.0,50.0,50.0,0
2005-01-20,956.24,-0.011341900931545412,22.204722776296233,1.14,0.02,,,,,,,,,,,,,-0.02737729275340095,,0.46153846153846156,,0.0,50.0,50.0,0
2005-01-21,982.6,0.027566301346942268,22.821539694759046,4.27,0.04,,,,,,,,,,,,,-0.0005252974687636192,,0.5,,0.0,50.0,50.0,0
2005-01-24,998.13,0.015805007123956827,22.84674358215786,1.59,0.04,,,,,,,,,,,,,0.014238817051625219,,0.5333333333333333,,0.0,50.0,50.0,0
2005-01-25,997.78,-0.00035065572620807117,22.540859121166736,1.27,0.03,,,,,,,,,,,,,0.013004186670423135,,0.5,,0.0,50.0,50.0,0
2005-01-26,989.93,-0.007867465774018312,22.27495607040502,1.1,0.02,,,,,,,,,,,,,0.004736866300844023,,0.47058823529411764,,0.0,50.0,50.0,0
2005-01-27,974.63,-0.015455638277453887,22.132885754954366,1.41,0.02,,,,,,,,,,,,,-0.010198543226454304,,0.4444444444444444,,0.0,50.0,50.0,0
2005-01-28,969.21,-0.005561084719329368,21.91139894329465,1.07,0.02,,,,,,,,,,,-0.8150096677008856,,-0.014888748969551169,,0.42105263157894735,,-0.8150096677008856,27.329,38.66,0
2005-01-31,954.88,-0.014785237461437672,22.07485839549941,1.31,0.02,,,,,,,,,,,-0.07664667721324911,-0.6138986255604773,-0.028022428529040022,,0.4,,-0.146723018302018,45.61,42.14,0
2005-02-01,955.95,0.0011205596514745064,22.176215259236297,1.33,0.02,,,,,,,,,,,-0.05468843995756218,-0.7885070818212602,-0.025683673281194808,,0.45,,-0.15040391498326192,45.5,43.82,0
