日期,hs300_close,hs300_pe_ttm,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_turnover_amt,csi_amplitude,shanghai_close,shanghai_ret,shanghai_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,pe_valuation_z,ma_spread,ma_spread_z,up_ratio,up_ratio_z,crowding_z,escape_index_raw,escape_index_0_100,escape_signal,escape_level
2005-01-04,982.79,,,22.212111687326047,0.0,0.02,,,,,,1242.77,-0.018736675878405107,1.78,,,,,,,,,,0.0,,0.0,,0.0,50.0,50.0,0,相对安全
2005-01-05,992.56,,0.00994108609163713,22.233812971097564,1.77,0.02,,,,,,1251.94,0.007378678275143491,1.84,,,,,,,,,,0.004945958943984641,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-06,983.17,,-0.009460385266381821,22.089616488073425,1.36,0.02,,,,,,1239.43,-0.009992491652954572,1.48,,,,,,,,,,-0.003045441639738744,,0.3333333333333333,,0.0,50.0,50.0,0,相对安全
2005-01-07,983.96,,0.000803523297090214,22.278768948442277,1.62,0.02,,,,,,1244.75,0.004292295652033484,1.68,,,,,,,,,,-0.0016842190702298643,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-10,993.88,,0.010081710638643715,22.04846451714707,1.44,0.02,,,,,,1252.4,0.006145812412130969,1.34,,,,,,,,,,0.006693190934210724,,0.6,,0.0,50.0,50.0,0,相对安全
2005-01-11,997.14,,0.0032800740532055173,22.032699861129334,0.85,0.02,,,,,,1257.46,0.004040242733950761,1.04,,,,,,,,,,0.008315496755709084,,0.6666666666666666,,0.0,50.0,50.0,0,相对安全
2005-01-12,996.75,,-0.0003911185991937183,21.852504222495753,0.77,0.02,,,,,,1256.92,-0.0004294371192721247,0.86,,,,,,,,,,0.0067818621261859224,,0.5714285714285714,,0.0,50.0,50.0,0,相对安全
2005-01-13,996.88,,0.00013042387760209273,22.06930400725102,0.68,0.02,,,,,,1256.31,-0.00048531330554058005,0.67,,,,,,,,,,0.006043801476700805,,0.625,,0.0,50.0,50.0,0,相对安全
2005-01-14,988.31,,-0.008596822084904976,22.1494828765631,1.93,0.02,,,,,,1245.62,-0.00850904633410543,1.99,,,,,,,,,,-0.0023162064912108926,,0.5555555555555556,,0.0,50.0,50.0,0,相对安全
2005-01-17,967.45,,-0.021106737764466477,22.170139595566013,1.66,0.02,,,,,,1216.65,-0.023257494259886435,1.79,,,,,,,,,,-0.021085937413044098,,0.5,,0.0,50.0,50.0,0,相对安全
2005-01-18,974.69,,0.007483590883249791,22.13861987115196,1.51,0.02,,,,,,1225.45,0.007232975794188912,1.56,,,,,,,,,,-0.012524890445200443,,0.5454545454545454,,0.0,50.0,50.0,0,相对安全
2005-01-19,967.21,,-0.007674234884937792,21.95522863133833,0.93,0.02,,,,,,1218.11,-0.005989636460075998,0.85,,,,,,,,,,-0.01845867875877716,,0.5,,0.0,50.0,50.0,0,相对安全
